Vgs,Vds,Id,L,W,Cox
0.0,0.1,1e-12,1e-6,1e-6,3.45e-7
0.5,0.1,1e-10,1e-6,1e-6,3.45e-7
1.0,0.1,1e-6,1e-6,1e-6,3.45e-7
1.5,0.1,5e-5,1e-6,1e-6,3.45e-7
2.0,0.1,2e-4,1e-6,1e-6,3.45e-7
2.5,0.1,4.5e-4,1e-6,1e-6,3.45e-7
3.0,0.1,8e-4,1e-6,1e-6,3.45e-7
3.5,0.1,1.25e-3,1e-6,1e-6,3.45e-7
0.0,1.0,1e-12,1e-6,1e-6,3.45e-7
0.5,1.0,1.5e-10,1e-6,1e-6,3.45e-7
1.0,1.0,1.2e-6,1e-6,1e-6,3.45e-7
1.5,1.0,8e-5,1e-6,1e-6,3.45e-7
2.0,1.0,4e-4,1e-6,1e-6,3.45e-7
2.5,1.0,9e-4,1e-6,1e-6,3.45e-7
3.0,1.0,1.6e-3,1e-6,1e-6,3.45e-7
3.5,1.0,2.5e-3,1e-6,1e-6,3.45e-7
